year,0,1,2,3,4,5,6,7
2006-06-01,0.1157,0.231,0.1627,0.2252,0.0392,0.1384,0.016900000000000002,0.0661
2006-12-01,0.0534,0.2084,0.0833,0.2312,0.0938,0.2246,0.0211,0.078
2007-06-01,0.0737,0.2278,0.1073,0.2164,0.0755,0.2009,0.0243,0.0679
2007-12-01,0.0862,0.2343,0.0862,0.158,0.0949,0.25630000000000003,0.0234,0.0544
2008-06-01,0.055900000000000005,0.2251,0.1711,0.16399999999999998,0.0868,0.2064,0.0219,0.06380000000000001
2008-12-01,0.07150000000000001,0.2235,0.114,0.2133,0.0711,0.235,0.0233,0.0425
2009-06-01,0.0561,0.2101,0.10800000000000001,0.2802,0.0654,0.2028,0.027100000000000003,0.0444
2009-12-01,0.1231,0.2027,0.1123,0.2166,0.07640000000000001,0.1895,0.0235,0.0507
2010-06-01,0.07830000000000001,0.1665,0.1468,0.2881,0.1067,0.1466,0.0214,0.04
2010-12-01,0.0898,0.1939,0.1588,0.1854,0.0612,0.2321,0.024200000000000003,0.0495
2011-06-01,0.1269,0.2153,0.14020000000000002,0.2008,0.0563,0.1788,0.0178,0.05830000000000001
2011-12-01,0.1089,0.2081,0.1438,0.2163,0.073,0.1667,0.0234,0.053
